date,close
2024-07-08,196.8971
2024-07-09,199.2579
2024-07-10,199.4211
2024-07-11,199.0852
2024-07-12,196.6764
2024-07-15,201.5804
2024-07-16,205.0064
2024-07-17,208.1254
2024-07-18,201.5132
2024-07-19,201.3213
2024-07-22,201.8011
2024-07-23,201.8491
2024-07-24,200.1793
2024-07-25,200.256
2024-07-26,203.6821
2024-07-29,202.3481
2024-07-30,206.5131
2024-07-31,204.2195
2024-08-01,199.5746
2024-08-02,191.1103
2024-08-05,187.0412
2024-08-06,192.2619
2024-08-07,192.3195
2024-08-08,195.8319
2024-08-09,197.5017
2024-08-12,197.876
2024-08-13,199.5555
2024-08-14,201.7627
2024-08-15,203.0199
2024-08-16,205.3423
2024-08-19,206.7626
2024-08-20,205.8701
2024-08-21,205.9469
2024-08-22,207.8951
2024-08-23,209.5073
2024-08-26,210.3326
2024-08-27,211.3019
2024-08-28,212.3672
2024-08-29,213.2501
2024-08-30,215.7356
2024-09-03,211.4171
2024-09-04,210.4862
2024-09-05,208.8547
2024-09-06,203.8932
2024-09-09,208.0678
2024-09-10,197.2714
2024-09-11,198.8741
2024-09-12,198.2695
2024-09-13,196.0814
2024-09-16,199.4787
2024-09-17,200.8126
2024-09-18,199.162
2024-09-19,201.993
2024-09-20,202.5784
2024-09-23,202.9143
2024-09-24,203.0583
2024-09-25,201.7147
2024-09-26,201.3213
2024-09-27,202.0122
2024-09-30,202.3577
2024-10-01,198.6917
2024-10-02,198.9317
2024-10-03,196.9547
2024-10-04,203.9454
2024-10-07,203.6654
2024-10-08,203.4915
2024-10-09,206.0696
2024-10-10,205.5096
2024-10-11,214.6341
2024-10-14,213.852
2024-10-15,214.7307
2024-10-16,215.9376
2024-10-17,216.6908
2024-10-18,217.608
2024-10-21,215.3196
2024-10-22,216.4011
2024-10-23,215.7155
2024-10-24,217.2315
2024-10-25,214.6534
2024-10-28,217.7335
2024-10-29,215.2231
2024-10-30,216.6811
2024-10-31,214.2768
2024-11-01,215.2617
2024-11-04,212.2105
2024-11-05,213.8617
2024-11-06,238.551
2024-11-07,228.2388
2024-11-08,228.8182
2024-11-11,231.0486
2024-11-12,231.3093
2024-11-13,232.8542
2024-11-14,233.5397
2024-11-15,236.8613
2024-11-18,236.5909
2024-11-19,234.7177
2024-11-20,232.4873
2024-11-21,236.3302
2024-11-22,239.9897
2024-11-25,241.6698
2024-11-26,241.3608
2024-11-27,241.187
2024-11-29,241.1194
2024-12-02,237.7689
2024-12-03,236.3881
2024-12-04,235.017
2024-12-05,237.0254
2024-12-06,238.8407
2024-12-09,235.4129
2024-12-10,234.4957
2024-12-11,235.1426
2024-12-12,233.2115
2024-12-13,231.6762
2024-12-16,231.3286
2024-12-17,230.1507
2024-12-18,222.4358
2024-12-19,224.9366
2024-12-20,229.4168
2024-12-23,230.1796
2024-12-24,233.9646
2024-12-26,234.766
2024-12-27,232.8639
2024-12-30,231.0776
2024-12-31,231.4541
